symbol,name,asset_type,market,category,risk_group,liquidity_class,systemic_role,narrative_role,bubble_history,narrative_exposure,data_priority,start_date,shock_history
RBLX,Roblox Corp.,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""metaverse""]",2,2021-04,[]
ROKU,Roku Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""streaming""]",2,2017-10,"[""covid-crash""]"
TWLO,Twilio Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""cloud""]",2,2016-07,"[""covid-crash""]"
FSLY,Fastly Inc.,equity,US,Big Tech & Internet,high_beta,low,single_name,follower,[],"[""edge-cloud""]",2,2019-06,"[""covid-crash""]"
S,SentinelOne,equity,US,Big Tech & Internet,high_beta,low,single_name,leader,[],"[""ai-cycle"",""cybersecurity""]",1,2021-07,[]
SQ,Block Inc.,equity,US,Fintech,high_beta,high,single_name,leader,[],"[""crypto-ecosystem""]",1,2015-08,"[""covid-crash""]"
PYPL,PayPal,equity,US,Fintech,mid_beta,ultra,single_name,follower,[],"[""payments""]",2,2015-08,"[""covid-crash""]"
AFRM,Affirm Holdings,equity,US,Fintech,high_beta,low,single_name,leader,[],"[""bnpl""]",1,2021-02,[]
V,Visa Inc.,equity,US,Fintech,mid_beta,ultra,stress_proxy,payment_rails,[],"[""payments""]",2,2008-04,"[""covid-crash""]"
MA,Mastercard,equity,US,Fintech,mid_beta,ultra,stress_proxy,payment_rails,[],"[""payments""]",2,2006-06,"[""covid-crash""]"
HYG,High Yield Bond ETF,etf,US,ETF,high_beta,ultra,stress_proxy,leader,[],[],1,2007-05,"[""gfc-2008"", ""covid-crash""]"
LQD,Investment Grade Bond ETF,etf,US,ETF,mid_beta,ultra,stress_proxy,laggard,[],[],2,2002-08,"[""gfc-2008""]"
VIXY,VIX Futures ETF,etf,US,ETF,high_beta,ultra,stress_proxy,leader,[],[],1,2011-02,"[""covid-crash""]"
KRE,Regional Bank ETF,etf,US,ETF,high_beta,ultra,stress_proxy,leader,[],[],1,2006-07,"[""gfc-2008"", ""covid-crash""]"
KBE,Large Bank ETF,etf,US,ETF,high_beta,ultra,stress_proxy,follower,[],[],1,2005-12,"[""covid-crash"", ""gfc-2008""]"
ICEW,Invesco Equal Weight Financial ETF,etf,US,ETF,mid_beta,high,sector_proxy,follower,[],[],2,NA,"[""covid-crash""]"
REM,iShares Mortgage Real Estate ETF,etf,US,ETF,high_beta,high,stress_proxy,leader,[],[],1,2007-06,"[""gfc-2008""]"
VNQ,Vanguard Real Estate ETF,etf,US,ETF,mid_beta,ultra,sector_proxy,laggard,[],[],2,2004-10,"[""gfc-2008""]"
XOP,Oil & Gas Exploration ETF,etf,US,ETF,high_beta,high,stress_proxy,leader,[],[],1,2006-07,"[""covid-crash""]"
XME,Metals & Mining ETF,etf,US,ETF,mid_beta,high,sector_proxy,follower,[],[],2,2006-07,"[""covid-crash""]"
SPGI,S&P Global,equity,US,Finance,mid_beta,high,market_infrastructure,laggard,[],[],2,2001-02,"[""gfc-2008""]"
MSCI,MSCI Inc.,equity,US,Finance,mid_beta,high,market_infrastructure,follower,[],[],2,2007-12,"[""covid-crash""]"
BX,Blackstone Inc.,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,2007-07,"[""gfc-2008"", ""covid-crash""]"
AAL,American Airlines,equity,US,Industrials,high_beta,high,stress_proxy,leader,[],[],1,2005-10,"[""covid-crash""]"
ADI,Analog Devices,equity,US,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
ADSK,Autodesk Inc.,equity,US,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
AIG,American International Group,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""gfc-2008""]"
AJG,Arthur J. Gallagher,equity,US,Finance,low_beta,medium,single_name,defensive,[],[],3,1999-12,[]
ALL,Allstate,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""gfc-2008""]"
ALLY,Ally Financial,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,2014-05,"[""covid-crash""]"
AVGO,Broadcom Inc.,equity,US,Big Tech & Internet,high_beta,high,single_name,leader,[],[],1,2009-09,"[""covid-crash""]"
AXP,American Express,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
AZO,AutoZone,equity,US,Consumer Discretionary,low_beta,medium,single_name,defensive,[],[],3,1999-12,[]
BHP,BHP Group (ADR),adr,Global,Commodities,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
BK,BNY Mellon,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""gfc-2008""]"
BP,BP plc (ADR),adr,Global,Energy,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
BR,Broadridge Financial,equity,US,Finance,low_beta,medium,single_name,defensive,[],[],3,2007-05,[]
CB,Chubb Ltd.,equity,US,Finance,low_beta,medium,single_name,defensive,[],[],3,1999-12,[]
CINF,Cincinnati Financial,equity,US,Finance,low_beta,medium,single_name,defensive,[],[],3,1999-12,[]
CME,CME Group Inc.,equity,US,Finance,mid_beta,high,single_name,follower,[],[],2,2003-01,"[""covid-crash""]"
COF,Capital One,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
DAL,Delta Air Lines,equity,US,Industrials,high_beta,high,stress_proxy,leader,[],[],1,2007-06,"[""covid-crash""]"
DELL,Dell Technologies,equity,US,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,2019-01,[]
DFS,Discover Financial,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,2007-07,"[""covid-crash""]"
EMR,Emerson Electric,equity,US,Industrials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
EQT,EQT Corp.,equity,US,Energy,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
ERIC,Ericsson ADR,adr,Global,Telecom,mid_beta,high,single_name,follower,"[""dot-com""]",[],2,1999-12,[]
ETN,Eaton Corp.,equity,US,Industrials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
FCX,Freeport-McMoRan,equity,US,Commodities,high_beta,high,single_name,leader,[],[],1,1999-12,"[""covid-crash""]"
FITB,Fifth Third Bancorp,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
GOOG,Alphabet Inc. C,equity,US,Big Tech & Internet,high_beta,ultra,single_name,follower,[],[],1,2014-04,"[""covid-crash""]"
HBAN,Huntington Bancshares,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
HES,Hess Corporation,equity,US,Energy,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
ICE,Intercontinental Exchange,equity,US,Finance,mid_beta,high,single_name,follower,[],[],2,2005-12,"[""covid-crash""]"
INTU,Intuit Inc.,equity,US,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
ITW,Illinois Tool Works,equity,US,Industrials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
KCE,Insurance ETF,etf,US,ETF,low_beta,ultra,sector_proxy,defensive,[],[],3,2005-12,[]
KEY,KeyCorp,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
KMI,Kinder Morgan,equity,US,Energy,low_beta,medium,single_name,defensive,[],[],3,2011-03,[]
LUV,Southwest Airlines,equity,US,Industrials,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""covid-crash""]"
MET,MetLife Inc.,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,2000-05,"[""gfc-2008""]"
MPC,Marathon Petroleum,equity,US,Energy,mid_beta,high,single_name,follower,[],[],2,2011-07,"[""covid-crash""]"
MTB,M&T Bank,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
MU,Micron Technology,equity,US,Big Tech & Internet,high_beta,high,single_name,leader,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
NOK,Nokia ADR,adr,Global,Telecom,mid_beta,high,single_name,leader,"[""dot-com""]",[],2,1999-12,[]
NTNX,Nutanix,equity,US,Big Tech & Internet,mid_beta,medium,single_name,follower,[],[],2,2016-10,"[""covid-crash""]"
NTRS,Northern Trust,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,[]
ORLY,O'Reilly Automotive,equity,US,Consumer Discretionary,mid_beta,medium,single_name,defensive,[],[],3,1999-12,[]
PFG,Principal Financial Group,equity,US,Finance,mid_beta,medium,single_name,follower,[],[],3,2001-11,"[""gfc-2008""]"
PNC,PNC Financial,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
PRU,Prudential Financial,equity,US,Finance,mid_beta,medium,single_name,follower,[],[],3,2002-01,"[""gfc-2008""]"
PSX,Phillips 66,equity,US,Energy,mid_beta,high,single_name,follower,[],[],2,2012-05,"[""covid-crash""]"
QCOM,Qualcomm Inc.,equity,US,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
RF,Regions Financial,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
ROK,Rockwell Automation,equity,US,Industrials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
SAP,SAP SE (ADR),adr,Global,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,[]
SHEL,Shell plc (ADR),adr,Global,Energy,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
SHOP,Shopify Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],[],1,2015-06,"[""covid-crash""]"
STT,State Street Corp.,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""gfc-2008""]"
TFC,Truist Financial,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
TROW,T. Rowe Price,equity,US,Finance,mid_beta,medium,single_name,follower,[],[],3,1999-12,"[""covid-crash""]"
TSM,Taiwan Semiconductor (ADR),adr,Global,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
TXN,Texas Instruments,equity,US,Big Tech & Internet,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
UAL,United Airlines,equity,US,Industrials,high_beta,high,stress_proxy,leader,[],[],1,2006-03,"[""covid-crash""]"
USB,US Bancorp,equity,US,Finance,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
VLO,Valero Energy,equity,US,Energy,high_beta,high,single_name,leader,[],[],1,1999-12,"[""gfc-2008""]"
WMB,Williams Companies,equity,US,Energy,low_beta,medium,single_name,defensive,[],[],3,1999-12,[]
ZION,Zions Bancorp,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""covid-crash""]"
GLD,SPDR Gold Shares,etf,US,Commodities,low_beta,ultra,stress_proxy,macro_hedge,[],"[""inflation"",""safe-haven""]",1,2004-11,"[""gfc-2008"",""covid-crash""]"
SLV,iShares Silver Trust,etf,US,Commodities,mid_beta,ultra,stress_proxy,macro_hedge,[],"[""precious-metals"",""inflation""]",2,2006-04,"[""gfc-2008"",""covid-crash""]"
USO,United States Oil Fund,etf,US,Commodities,high_beta,ultra,stress_proxy,energy_benchmark,[],"[""oil"",""energy-shock""]",1,2006-04,"[""gfc-2008"",""covid-crash""]"
UNG,United States Natural Gas Fund,etf,US,Commodities,high_beta,high,stress_proxy,energy_benchmark,[],"[""natgas"",""energy-shock""]",2,2007-04,"[""gfc-2008"",""covid-crash""]"
CPER,United States Copper Index Fund,etf,US,Commodities,high_beta,medium,stress_proxy,growth_barometer,[],"[""copper"",""global-growth""]",2,2011-11,"[""covid-crash""]"
DBC,Invesco DB Commodity Index Tracking Fund,etf,US,Commodities,mid_beta,high,stress_proxy,commodity_benchmark,[],"[""broad-commodities"",""inflation""]",1,2006-02,"[""gfc-2008"",""covid-crash""]"
